Cycle,Days,Inv.B,RN D,Demand,Inv.E,short,Order,RN L,Lead Time
1,1,11,94,1,10,0, , , 
1,2,10,73,3,7,0, , , 
1,3,7,70,2,5,0, , , 
1,4,5,82,4,1,0, , , 
1,5,1,25,2,0,1.0,12.0,3,1
2,6,0,35,2,0,3.0, , ,0
2,7,9.0,61,1,8.0,0, , , 
2,8,8.0,42,3,5.0,0, , , 
2,9,5.0,48,2,3.0,0, , , 
2,10,3.0,26,3,0.0,0,11.0,5,1
3,11,0.0,88,3,0,3.0, , ,0
3,12,8.0,31,4,4.0,0, , , 
3,13,4.0,90,3,1.0,0, , , 
3,14,1.0,55,2,0,1.0, , , 
3,15,0,95,3,0,4.0,15.0,6,1
4,16,0,58,4,0,8.0, , ,0
4,17,7.0,70,1,6.0,0, , , 
4,18,6.0,15,1,5.0,0, , , 
4,19,5.0,73,4,1.0,0, , , 
4,20,1.0,65,3,0,2.0,13.0,1,1
5,21,0,74,1,0,3.0, , ,0
5,22,10.0,75,2,8.0,0, , , 
5,23,8.0,98,2,6.0,0, , , 
5,24,6.0,72,2,4.0,0, , , 
5,25,4.0,59,4,0.0,0,11.0,4,1
